timestamp,origin,destination,summary_route,travel_time_seconds,travel_time_minutes,distance_meters,distance_km
2025-05-26T20:37:37.401920,"Paradise Circle, Secunderabad, Telangana","MG Road, Secunderabad, Telangana",NH 44,257,4.28,1167,1.17
2025-05-26T20:37:37.675318,"Secunderabad Railway Station, Malkajgiri, Secunderabad","ECIL X Road, Hyderabad, Telangana",Lalapet - Moula Ali Rd,1854,30.9,12280,12.28
2025-05-26T20:37:38.455791,"ECIL X Road, Hyderabad, Telangana","Keesara, Hyderabad, Telangana",ECIL - Keesara Rd,1711,28.52,14557,14.56
2025-05-26T20:42:41.377863,"Secunderabad Railway Station, Secunderabad, Telangana","Hitech City, Hyderabad, Telangana",Begumpet Rd,2425,40.42,17613,17.61
2025-05-26T20:42:41.593013,"Gachibowli, Hyderabad, Telangana","Financial District, Hyderabad, Telangana",ISB Rd,894,14.9,5825,5.83
2025-05-26T20:42:41.838245,"Koti, Hyderabad, Telangana","Begum Bazaar, Hyderabad, Telangana",Malakunta Road,714,11.9,3134,3.13
2025-05-26T20:42:42.042698,"Jubilee Hills Check Post, Hyderabad, Telangana","Banjara Hills Road No 12, Hyderabad, Telangana",LV Prasad Marg/Road No. 2,509,8.48,3160,3.16
2025-05-26T20:42:42.627391,"MGBS, Hyderabad, Telangana","Kukatpally Housing Board, Hyderabad, Telangana",NH 65,2923,48.72,19496,19.5
2025-05-26T20:42:42.899938,"LB Nagar, Hyderabad, Telangana","Dilsukhnagar, Hyderabad, Telangana",Hyderabad - Vijayawada Hwy/Pune - Machilipatnam Hwy,825,13.75,6545,6.54
2025-05-26T20:42:43.309143,"Miyapur, Hyderabad, Telangana","Ameerpet, Hyderabad, Telangana",NH 65,2349,39.15,16860,16.86
2025-05-26T20:42:43.527744,"Paradise Circle, Secunderabad, Telangana","MG Road, Secunderabad, Telangana",NH 44,261,4.35,1167,1.17
2025-05-26T20:42:44.121499,"Secunderabad Railway Station, Malkajgiri, Secunderabad","ECIL X Road, Hyderabad, Telangana",Lalapet - Moula Ali Rd,1823,30.38,12280,12.28
2025-05-26T20:42:44.729956,"ECIL X Road, Hyderabad, Telangana","Keesara, Hyderabad, Telangana",ECIL - Keesara Rd,1712,28.53,14557,14.56
2025-05-26T20:47:45.518607,"Secunderabad Railway Station, Secunderabad, Telangana","Hitech City, Hyderabad, Telangana",Road No. 36,2387,39.78,17616,17.62
2025-05-26T20:47:45.801042,"Gachibowli, Hyderabad, Telangana","Financial District, Hyderabad, Telangana",ISB Rd,886,14.77,5825,5.83
2025-05-26T20:47:46.133467,"Koti, Hyderabad, Telangana","Begum Bazaar, Hyderabad, Telangana",Malakunta Road,722,12.03,3134,3.13
2025-05-26T20:47:46.482794,"Jubilee Hills Check Post, Hyderabad, Telangana","Banjara Hills Road No 12, Hyderabad, Telangana",LV Prasad Marg/Road No. 2,517,8.62,3160,3.16
2025-05-26T20:47:47.099205,"MGBS, Hyderabad, Telangana","Kukatpally Housing Board, Hyderabad, Telangana",NH 65,2896,48.27,19631,19.63
2025-05-26T20:47:47.396611,"LB Nagar, Hyderabad, Telangana","Dilsukhnagar, Hyderabad, Telangana",Hyderabad - Vijayawada Hwy/Pune - Machilipatnam Hwy,822,13.7,6545,6.54
2025-05-26T20:47:47.757003,"Miyapur, Hyderabad, Telangana","Ameerpet, Hyderabad, Telangana",NH 65,2316,38.6,16860,16.86
2025-05-26T20:47:48.000118,"Paradise Circle, Secunderabad, Telangana","MG Road, Secunderabad, Telangana",NH 44,245,4.08,1167,1.17
2025-05-26T20:47:48.377109,"Secunderabad Railway Station, Malkajgiri, Secunderabad","ECIL X Road, Hyderabad, Telangana",Lalapet - Moula Ali Rd,1799,29.98,12280,12.28
2025-05-26T20:47:49.031750,"ECIL X Road, Hyderabad, Telangana","Keesara, Hyderabad, Telangana",ECIL - Keesara Rd,1687,28.12,14557,14.56
2025-05-26T20:53:07.633425,"Secunderabad Railway Station, Secunderabad, Telangana","Hitech City, Hyderabad, Telangana",Begumpet Rd,2313,38.55,17613,17.61
2025-05-26T20:53:17.951303,"Gachibowli, Hyderabad, Telangana","Financial District, Hyderabad, Telangana",ISB Rd,932,15.53,5825,5.83
2025-05-26T20:53:21.456554,"Koti, Hyderabad, Telangana","Begum Bazaar, Hyderabad, Telangana",Malakunta Road,765,12.75,3134,3.13
2025-05-26T20:53:21.939348,"Jubilee Hills Check Post, Hyderabad, Telangana","Banjara Hills Road No 12, Hyderabad, Telangana",LV Prasad Marg/Road No. 2,500,8.33,3160,3.16
2025-05-26T20:53:22.546035,"MGBS, Hyderabad, Telangana","Kukatpally Housing Board, Hyderabad, Telangana",NH 65,2835,47.25,19631,19.63
2025-05-26T20:53:22.853649,"LB Nagar, Hyderabad, Telangana","Dilsukhnagar, Hyderabad, Telangana",Hyderabad - Vijayawada Hwy/Pune - Machilipatnam Hwy,819,13.65,6545,6.54
2025-05-26T20:53:23.155760,"Miyapur, Hyderabad, Telangana","Ameerpet, Hyderabad, Telangana",NH 65,2354,39.23,16860,16.86
2025-05-26T20:53:23.416523,"Paradise Circle, Secunderabad, Telangana","MG Road, Secunderabad, Telangana",NH 44,242,4.03,1167,1.17
2025-05-26T20:53:23.760351,"Secunderabad Railway Station, Malkajgiri, Secunderabad","ECIL X Road, Hyderabad, Telangana",Lalapet - Moula Ali Rd,1781,29.68,12280,12.28
2025-05-26T20:53:24.352474,"ECIL X Road, Hyderabad, Telangana","Keesara, Hyderabad, Telangana",ECIL - Keesara Rd,1676,27.93,14557,14.56
2025-05-26T20:58:25.295066,"Secunderabad Railway Station, Secunderabad, Telangana","Hitech City, Hyderabad, Telangana",Begumpet Rd,2265,37.75,17627,17.63
2025-05-26T20:58:25.700767,"Gachibowli, Hyderabad, Telangana","Financial District, Hyderabad, Telangana",ISB Rd,862,14.37,5825,5.83
2025-05-26T20:58:26.168769,"Koti, Hyderabad, Telangana","Begum Bazaar, Hyderabad, Telangana",Malakunta Road,725,12.08,3134,3.13
2025-05-26T20:58:26.487521,"Jubilee Hills Check Post, Hyderabad, Telangana","Banjara Hills Road No 12, Hyderabad, Telangana",LV Prasad Marg/Road No. 2,490,8.17,3160,3.16
2025-05-26T20:58:27.024856,"MGBS, Hyderabad, Telangana","Kukatpally Housing Board, Hyderabad, Telangana",NH 65,2913,48.55,19631,19.63
2025-05-26T20:58:27.287003,"LB Nagar, Hyderabad, Telangana","Dilsukhnagar, Hyderabad, Telangana",Hyderabad - Vijayawada Hwy/Pune - Machilipatnam Hwy,822,13.7,6545,6.54
2025-05-26T20:58:27.606065,"Miyapur, Hyderabad, Telangana","Ameerpet, Hyderabad, Telangana",NH 65,2325,38.75,16860,16.86
2025-05-26T20:58:27.855779,"Paradise Circle, Secunderabad, Telangana","MG Road, Secunderabad, Telangana",NH 44,253,4.22,1167,1.17
2025-05-26T20:58:28.238130,"Secunderabad Railway Station, Malkajgiri, Secunderabad","ECIL X Road, Hyderabad, Telangana",Lalapet - Moula Ali Rd,1744,29.07,12280,12.28
2025-05-26T20:58:29.276452,"ECIL X Road, Hyderabad, Telangana","Keesara, Hyderabad, Telangana",ECIL - Keesara Rd,1665,27.75,14557,14.56
2025-05-26T21:08:43.929094,"Secunderabad Railway Station, Secunderabad, Telangana","Hitech City, Hyderabad, Telangana",Begumpet Rd,2161,36.02,17613,17.61
2025-05-26T21:08:44.250018,"Gachibowli, Hyderabad, Telangana","Financial District, Hyderabad, Telangana",ISB Rd,772,12.87,5825,5.83
2025-05-26T21:08:44.576462,"Koti, Hyderabad, Telangana","Begum Bazaar, Hyderabad, Telangana",Malakunta Road,719,11.98,3134,3.13
2025-05-26T21:08:44.896881,"Jubilee Hills Check Post, Hyderabad, Telangana","Banjara Hills Road No 12, Hyderabad, Telangana",LV Prasad Marg/Road No. 2,463,7.72,3160,3.16
2025-05-26T21:08:45.533675,"MGBS, Hyderabad, Telangana","Kukatpally Housing Board, Hyderabad, Telangana",NH 65,2822,47.03,19631,19.63
2025-05-26T21:08:45.819056,"LB Nagar, Hyderabad, Telangana","Dilsukhnagar, Hyderabad, Telangana",Hyderabad - Vijayawada Hwy/Pune - Machilipatnam Hwy,846,14.1,6545,6.54
2025-05-26T21:08:46.490899,"Miyapur, Hyderabad, Telangana","Ameerpet, Hyderabad, Telangana",NH 65,2341,39.02,16860,16.86
2025-05-26T21:08:46.807255,"Paradise Circle, Secunderabad, Telangana","MG Road, Secunderabad, Telangana",NH 44,242,4.03,1167,1.17
2025-05-26T21:08:47.447724,"Secunderabad Railway Station, Malkajgiri, Secunderabad","ECIL X Road, Hyderabad, Telangana",Lalapet - Moula Ali Rd,1739,28.98,12280,12.28
2025-05-26T21:08:48.047501,"ECIL X Road, Hyderabad, Telangana","Keesara, Hyderabad, Telangana",ECIL - Keesara Rd,1667,27.78,14557,14.56
2025-05-26T21:13:48.923245,"Secunderabad Railway Station, Secunderabad, Telangana","Hitech City, Hyderabad, Telangana",Begumpet Rd,2110,35.17,17613,17.61
2025-05-26T21:13:49.134628,"Gachibowli, Hyderabad, Telangana","Financial District, Hyderabad, Telangana",ISB Rd,757,12.62,5825,5.83
2025-05-26T21:13:49.355406,"Koti, Hyderabad, Telangana","Begum Bazaar, Hyderabad, Telangana",Malakunta Road,721,12.02,3134,3.13
2025-05-26T21:13:49.544510,"Jubilee Hills Check Post, Hyderabad, Telangana","Banjara Hills Road No 12, Hyderabad, Telangana",LV Prasad Marg/Road No. 2,473,7.88,3160,3.16
2025-05-26T21:13:49.997644,"MGBS, Hyderabad, Telangana","Kukatpally Housing Board, Hyderabad, Telangana",NH 65,2837,47.28,19631,19.63
2025-05-26T21:13:50.197709,"LB Nagar, Hyderabad, Telangana","Dilsukhnagar, Hyderabad, Telangana",Hyderabad - Vijayawada Hwy/Pune - Machilipatnam Hwy,976,16.27,6545,6.54
2025-05-26T21:13:50.496590,"Miyapur, Hyderabad, Telangana","Ameerpet, Hyderabad, Telangana",NH 65,2335,38.92,16860,16.86
2025-05-26T21:13:50.701765,"Paradise Circle, Secunderabad, Telangana","MG Road, Secunderabad, Telangana",NH 44,236,3.93,1167,1.17
2025-05-26T21:13:50.973574,"Secunderabad Railway Station, Malkajgiri, Secunderabad","ECIL X Road, Hyderabad, Telangana",Lalapet - Moula Ali Rd,1729,28.82,12280,12.28
